transaction_id,items
1,"shorts, socks, glue, pen"
2,"socks, cap, sweater, bread, apple, coffee, pen, paper"
3,"cap, hoodie, dress, primer, concealer, foundation, binder"
4,"salt, milk, banana, eraser, scissors, binder, jacket, skirt, jeans"
5,"juice, glue, marker, eraser"
6,"pen, paper, tshirt, socks, shorts"
7,"foundation, concealer, eyeliner, shorts, jacket, pencil, highlighter"
8,"pencil, eraser, highlighter, lipstick, primer, powder, sugar, apple, cheese"
9,"scissors, highlighter, paper, eyeliner"
10,"hoodie, jacket, socks, primer, notebook, pencil"
11,"shorts, hoodie, jeans, powder, mascara, notebook, binder"
12,"glue, ruler, blush, primer, powder, apple"
13,"glue, blush"
14,"shorts, socks, jacket, paper, glue, blush, browkit, powder"
15,"pencil, paper, sweater, hoodie, dress, concealer, blush"
16,"jacket, jeans, cap, juice, eggs, highlighter, marker, pen"
17,"blush, juice, milk, butter"
18,"glue, rice"
19,"blush, mascara, tshirt, ruler, highlighter"
20,"primer, foundation, socks, skirt, shorts"
21,"tshirt, socks, jacket, mascara, lipstick, blush, cheese"
22,"notebook, pencil, marker, sweater, lipstick, concealer"
23,"jeans, mascara"
24,"binder, glue, lipstick"
25,"scissors, ruler, highlighter, powder, blush, foundation"
26,"eraser, sugar"
27,"apple, eggs, juice, primer, foundation, powder"
28,"skirt, highlighter, pencil, glue"
29,"cap, concealer, eyeliner"
30,"powder, browkit, pencil, pen, scissors"
31,"jacket, shorts, juice, milk, oil"
32,"lipstick, browkit, eggs, cheese, banana, pencil, binder"
33,"browkit, banana, noodles, coffee"
34,"pencil, highlighter, eraser, shorts, socks, jacket, blush, foundation"
35,"banana, bread, coffee, eyeliner, lipstick, tshirt"
36,"butter, eggs, rice, highlighter, notebook, shorts, cap, sweater"
37,"blush, concealer, sweater, jeans, dress, highlighter, scissors"
38,"eyeliner, foundation, lipstick, noodles, socks, tshirt"
39,"eyeliner, binder, noodles, milk, apple"
40,"socks, oil, sugar"
41,"notebook, marker, mascara"
42,"salt, rice, notebook, binder, eraser, eyeliner, mascara, foundation"
43,"noodles, scissors, paper"
44,"eggs, apple, juice, concealer, mascara"
45,"cap, coffee"
46,"oil, banana, hoodie, jacket, socks, blush, powder"
47,"browkit, primer, concealer, scissors"
48,"hoodie, socks, tshirt, blush, mascara"
49,"noodles, rice, jeans, skirt, socks"
50,"skirt, jacket, eyeliner, powder, browkit, butter, noodles, cereal"
51,"hoodie, skirt, cap, cheese, oil, rice"
52,"eraser, pen, coffee, butter"
53,"foundation, powder, blush, coffee, hoodie, cap, skirt"
54,"socks, jacket, hoodie, browkit, primer"
55,"glue, sweater, cap, hoodie, browkit, lipstick"
56,"eggs, cereal, banana, notebook"
57,"socks, scissors"
58,"concealer, eggs, butter, rice"
59,"jacket, dress, socks, browkit, concealer, foundation, apple"
60,"browkit, concealer, eggs, rice, cereal"
61,"jacket, dress, ruler, cheese, banana, coffee"
62,"dress, sweater, shorts, powder, browkit, mascara"
63,"highlighter, eraser, pencil, cereal, eggs"
64,"cheese, jacket, jeans, lipstick, concealer"
65,"cap, jacket, marker, paper, highlighter, eyeliner"
66,"hoodie, mascara, concealer, noodles"
67,"jeans, shorts, tshirt, blush, lipstick, butter, banana"
68,"paper, eraser, pencil, cap, dress, jacket, apple, coffee, salt"
69,"juice, shorts, socks, skirt"
70,"blush, butter, highlighter, binder"
71,"powder, primer, blush, skirt"
72,"sweater, shorts, powder, concealer, foundation, salt, cereal"
73,"tshirt, socks, dress, highlighter, glue, paper"
74,"sugar, milk, ruler, pencil"
75,"primer, lipstick, jeans, socks, juice, milk"
76,"eggs, noodles, glue, paper, eraser"
77,"pencil, noodles, mascara, primer, foundation"
78,"binder, ruler, lipstick, browkit, bread"
79,"skirt, hoodie, tshirt, ruler, paper, scissors"
80,"sweater, oil, sugar"
81,"jacket, tshirt, coffee, bread, binder"
82,"browkit, eyeliner, marker"
83,"foundation, scissors"
84,"glue, butter, oil, milk, jeans, tshirt"
85,"cap, dress, jacket, salt, milk"
86,"eggs, powder, concealer, browkit, tshirt"
87,"juice, shorts"
88,"juice, apple, marker, scissors, concealer"
89,"glue, pen, tshirt, cap, sweater, primer, browkit, blush"
90,"jacket, primer, apple, milk"
91,"lipstick, rice, sugar, apple"
92,"socks, skirt, jacket, eggs, notebook, scissors, eraser"
93,"eggs, sweater, dress, tshirt, highlighter, notebook, eraser"
94,"cheese, salt, notebook, glue, paper"
95,"marker, binder, notebook, browkit, tshirt, socks, skirt"
96,"jeans, skirt, shorts, primer, eggs, sugar, juice"
97,"apple, ruler, blush"
98,"cheese, eggs, tshirt"
99,"paper, marker, apple, salt, jacket, hoodie, sweater"
100,"salt, butter, eyeliner"
101,"coffee, browkit"
102,"sweater, dress, coffee"
103,"cheese, eggs, rice, highlighter, notebook, ruler"
104,"pen, paper, dress, skirt, lipstick, mascara"
105,"binder, marker, jeans, jacket, dress, noodles, banana"
106,"salt, sugar, milk, primer"
107,"primer, browkit, bread, coffee, rice"
108,"blush, marker, eraser"
109,"ruler, pencil, marker, eggs, powder, lipstick"
110,"browkit, powder, sweater"
111,"milk, juice, mascara, eyeliner, cap, socks, jacket"
112,"notebook, glue, socks, sweater, cap"
113,"blush, foundation, jacket, sweater, cheese, salt, banana"
114,"skirt, cap, jacket, rice, banana"
115,"notebook, ruler, milk, butter, eyeliner, foundation"
116,"tshirt, jeans, binder, notebook, scissors, eyeliner, primer"
117,"skirt, hoodie, eraser, highlighter, scissors, cereal, apple"
118,"notebook, binder, eraser, primer, mascara, coffee, juice, apple"
119,"sweater, foundation, eyeliner, browkit"
120,"milk, lipstick, browkit, pen, glue"
121,"lipstick, foundation, mascara, marker, tshirt, shorts"
122,"tshirt, hoodie, highlighter, glue, marker, powder, primer, blush"
123,"jeans, jacket, eyeliner"
124,"eyeliner, blush, tshirt, dress, eraser, glue, paper"
125,"lipstick, primer, eyeliner, rice, salt, hoodie, shorts, skirt"
126,"dress, cap, shorts, rice"
127,"bread, dress"
128,"pencil, milk, cheese"
129,"banana, browkit, foundation, blush"
130,"socks, lipstick, concealer"
131,"blush, powder, browkit, hoodie, dress, jeans, paper, binder"
132,"apple, concealer, lipstick, blush, notebook"
133,"foundation, primer, browkit, sweater, shorts, cap"
134,"eraser, binder, powder, jacket, cap"
135,"concealer, jeans, noodles"
136,"blush, browkit, foundation, skirt, cheese, oil, noodles"
137,"marker, cheese, coffee, lipstick, mascara, concealer"
138,"eraser, pen, eyeliner, concealer, primer"
139,"glue, cap, jacket"
140,"oil, jacket, skirt, socks, browkit"
141,"primer, blush, lipstick, pen"
142,"salt, apple, lipstick, eraser, ruler, notebook"
143,"jacket, tshirt, pen, pencil, eyeliner, mascara"
144,"mascara, foundation, socks, dress, jacket, pen"
145,"glue, pen, tshirt"
146,"cheese, notebook, eyeliner, mascara"
147,"pen, milk, eggs, noodles"
148,"oil, milk, sugar, pencil, paper"
149,"concealer, primer, foundation, eggs, sugar, oil, socks"
150,"dress, hoodie, rice, noodles, juice, powder, lipstick, foundation"
151,"noodles, coffee, notebook"
152,"lipstick, powder, noodles, banana, juice, marker, pencil, paper"
153,"banana, milk, pencil, jacket"
154,"eraser, scissors, ruler, primer, concealer, oil, banana, eggs"
155,"foundation, mascara, cheese, butter, ruler, marker, pencil"
156,"butter, sugar, eggs, ruler, marker, binder, cap, sweater, dress"
157,"tshirt, dress, socks, primer, foundation, mascara, eraser, notebook"
158,"scissors, eraser, noodles, salt, rice"
159,"apple, pencil, eraser, highlighter"
160,"eyeliner, jeans, cap"
161,"blush, foundation, paper, ruler"
162,"glue, eggs, rice, bread"
163,"primer, powder, concealer, butter"
164,"jeans, dress, socks, blush, mascara, lipstick, apple, oil"
165,"foundation, lipstick, eyeliner, sweater, jacket"
166,"cereal, socks, dress, sweater, powder, primer"
167,"pen, highlighter, foundation, mascara"
168,"oil, rice, noodles, blush, lipstick"
169,"notebook, marker, dress"
170,"concealer, blush, lipstick, paper, notebook"
171,"notebook, pencil, jacket"
172,"jeans, juice, cheese, ruler"
173,"foundation, noodles, rice, eggs"
174,"foundation, powder, blush, eraser, pen"
175,"blush, mascara, apple"
176,"jacket, shorts, ruler, glue"
177,"mascara, foundation, ruler, tshirt"
178,"shorts, tshirt, primer"
179,"notebook, browkit"
180,"foundation, powder, dress, tshirt, sweater, butter, bread, eggs"
181,"marker, notebook, tshirt, cheese"
182,"salt, sugar, cereal, cap"
183,"dress, cheese, butter, eggs"
184,"rice, pencil, blush, concealer, primer"
185,"lipstick, eyeliner, powder, shorts, skirt"
186,"skirt, shorts, hoodie, blush, browkit"
187,"noodles, scissors, hoodie, shorts"
188,"shorts, cap, oil, sugar, paper"
189,"notebook, eraser, scissors, tshirt"
190,"pen, cap, sweater, jeans, primer, lipstick, mascara"
191,"mascara, primer, scissors, eraser"
192,"tshirt, skirt, shorts, banana, eggs, cereal, eyeliner, mascara"
193,"rice, milk, tshirt, binder, pen"
194,"coffee, noodles, salt, binder, paper, eraser"
195,"browkit, highlighter, eggs, banana, cheese"
196,"browkit, blush, hoodie, jeans, skirt, highlighter"
197,"eraser, marker, skirt"
198,"tshirt, sweater, highlighter, binder"
199,"concealer, apple, rice, eggs, cap, jacket"
200,"eggs, lipstick, browkit, primer"
